scenario,run,roi,condition,snr_name,target_snr,replicate,random_seed,epsilon_estimated,tau_estimated,alpha_estimated,epsilon_relative_error_percent,tau_relative_error_percent,alpha_relative_error_percent,test_rmse_percent,test_mae_percent,test_r2,test_pearson_r,hrf_rmse_percent,hrf_r2,hrf_pearson_r,hrf_peak_error_percent,hrf_time_to_peak_error_s,elapsed_minutes
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_10,10.0,1,40521435,0.1470059382938752,0.8785579778151048,0.340086541752563,1.9960411374164897,10.351226753560733,6.277044297675946,0.0351951513288118,0.0240926664084249,0.9975027904419216,0.9997035235857084,0.0079505920286673,0.9971926474132246,0.9989991655372912,-0.0097055450455547,-0.0499999999999998,2.1886900345484417
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_10,10.0,2,40521436,0.1422945248555126,0.8765838684390902,0.325206789320931,5.136983429658238,10.55266648580712,1.6271216627909528,0.0435821033612174,0.0296981581907917,0.9961708208326392,0.9996378570499218,0.0097584402583225,0.9957707940125718,0.998762234039615,-0.0159920898508371,-0.0999999999999996,2.079437073071797
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_10,10.0,3,40521437,0.1442308722620298,0.9354902954018413,0.3243783496278254,3.8460851586467615,4.541806591648861,1.3682342586954397,0.0314920732103061,0.0212639796505248,0.9980006362233864,0.9999417398771802,0.0063620777516441,0.9982023879620968,0.9997947970459428,-0.0160423924648259,0.0,2.068329711755117
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_10,10.0,4,40521438,0.138608468281569,0.923060628763926,0.3259405467080724,7.594354478953939,5.8101399220483625,1.8564208462726155,0.0595792718442959,0.0403038525598896,0.99284384568648,0.9999096805136348,0.0119418514462928,0.993666535337973,0.9996708805510476,-0.033841325372183,-0.0499999999999998,2.0761639873186746
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_10,10.0,5,40521439,0.1437873465286633,0.900226691477098,0.3351533661004394,4.141768980891081,8.140133522745101,4.735426906387324,0.0438150163428198,0.0295715276903415,0.996129783405012,0.9998256457668006,0.0088186929893739,0.9965461261600252,0.999393473297744,-0.0196721862515384,-0.0499999999999998,2.054850443204244
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_5,5.0,1,40521535,0.133362623429285,0.9096309861048316,0.3212918523826398,11.09158438047662,7.180511621955967,0.4037038695749346,0.0811024864677721,0.0548699103181267,0.9867395686017656,0.9998462875916708,0.0163868715968968,0.988074128531449,0.999439162515295,-0.0469995842621883,-0.0499999999999998,2.085095429420471
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_5,5.0,2,40521536,0.134599873576118,0.9033109450290916,0.3228709687244457,10.266750949254613,7.825413772541661,0.8971777263892984,0.0764583680471764,0.0517475305386937,0.988214734715434,0.9998180270300508,0.0154244157139794,0.989433881759591,0.9993411764406058,-0.0430763555806311,-0.0499999999999998,2.0467676440874736
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_5,5.0,3,40521537,0.1365262932293588,0.9012629058455064,0.3165168722839913,8.982471180427444,8.034397362703416,1.0884774112527098,0.0619135325733686,0.0419027127084842,0.9922721179848036,0.9997814263934052,0.0127613587507705,0.9927674431055628,0.9992253573509392,-0.0329235385196167,-0.0499999999999998,2.094751218954722
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_5,5.0,4,40521538,0.1383288027659066,0.885807768203295,0.313830234683239,7.780798156062252,9.61145222415357,1.9280516614877952,0.0518091341440283,0.03509371499702,0.9945886953705294,0.999665797206591,0.0112329983763464,0.9943961124080718,0.9988419028158678,-0.0236712203475941,-0.0999999999999996,2.116631857554118
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_5,5.0,5,40521539,0.1412554879335772,0.8333848720084096,0.3250086638166621,5.829674710948511,14.96072734608065,1.565207442706905,0.0510890293612454,0.0351795843382134,0.9947380754320152,0.9992358979467528,0.012500765331767,0.993059812111318,0.9973970450924848,-0.0143405725908114,-0.1499999999999994,2.063252870241801
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_2,2.0,1,40521635,0.111430960074052,0.7873432933229175,0.3129568339302458,25.712693283965304,19.658847620110457,2.2009893967981675,0.186632430107606,0.1260145603802675,0.9297795615710702,0.9986864778449192,0.037496983499978,0.937556004128493,0.9952059999620072,-0.104935052584394,-0.1499999999999994,2.0816089590390523
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_2,2.0,2,40521636,0.1187132800843275,0.7674378621510805,0.3110754369196919,20.85781327711494,21.69001406621628,2.788925962596261,0.1484172316513446,0.1002515627110882,0.9555923319370192,0.9983286648793818,0.0306307597986769,0.9583309535427024,0.9940077054675538,-0.0765779324984623,-0.1999999999999993,2.072043621540069
motor_lr_m1_left,MOTOR_LR,M1_left,rh,snr_2,2.0,3,40521637,0.1436060527060052,0.8806473103679572,0.3283871828423715,4.262631529329856,10.138029554290082,2.6209946382410934,0.040161453997591,0.0273998303825811,0.9967483172295672,0.9996782450295892,0.0089946677330872,0.9964069085330112,0.998903691239502,-0.0140422903270628,-0.0999999999999996,2.084921701749166
