target_snr,metric,first_model,second_model,n_pairs,first_mean,second_mean,mean_difference,median_difference,wilcoxon_statistic,p_value_raw,rank_biserial,p_value_holm
10.0,test_rmse_percent,GLM,MLP,20,0.40553692767025906,0.08491401916217876,0.3206229085080803,0.32346047159161906,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
10.0,test_rmse_percent,GLM,PINN,20,0.40553692767025906,0.0577399314345967,0.34779699623566235,0.3511812379124899,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
10.0,test_rmse_percent,MLP,PINN,20,0.08491401916217876,0.0577399314345967,0.027174087727582046,0.027166628831420996,27.0,0.0023250579833984375,0.7428571428571429,0.0023250579833984375
10.0,hrf_rmse_percent,GLM,MLP,20,0.12223376957181911,0.24179973557824078,-0.11956596600642164,-0.1189540681835834,0.0,1.9073486328125e-06,-1.0,5.7220458984375e-06
10.0,hrf_rmse_percent,GLM,PINN,20,0.12223376957181911,0.012376376245117376,0.10985739332670172,0.11045442080294715,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
10.0,hrf_rmse_percent,MLP,PINN,20,0.24179973557824078,0.012376376245117376,0.22942335933312336,0.22807144769044924,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
5.0,test_rmse_percent,GLM,MLP,20,0.40985079715632455,0.10878187603689578,0.30106892111942873,0.308272075744605,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
5.0,test_rmse_percent,GLM,PINN,20,0.40985079715632455,0.06545255079295306,0.3443982463633714,0.3455499031060446,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
5.0,test_rmse_percent,MLP,PINN,20,0.10878187603689578,0.06545255079295306,0.04332932524394271,0.034961324885485895,13.0,0.0001678466796875,0.8761904761904762,0.0001678466796875
5.0,hrf_rmse_percent,GLM,MLP,20,0.12224052183684764,0.2373478777285371,-0.11510735589168948,-0.11335337869000725,0.0,1.9073486328125e-06,-1.0,5.7220458984375e-06
5.0,hrf_rmse_percent,GLM,PINN,20,0.12224052183684764,0.013915368064448244,0.10832515377239937,0.10893282088397394,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
5.0,hrf_rmse_percent,MLP,PINN,20,0.2373478777285371,0.013915368064448244,0.22343250966408884,0.22074924276361824,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
2.0,test_rmse_percent,GLM,MLP,20,0.4186843695883794,0.2103254548820795,0.20835891470629986,0.2136439981487136,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
2.0,test_rmse_percent,GLM,PINN,20,0.4186843695883794,0.07997021045693473,0.3387141591314446,0.35104089163044844,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
2.0,test_rmse_percent,MLP,PINN,20,0.2103254548820795,0.07997021045693473,0.13035524442514476,0.1458143952274204,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
2.0,hrf_rmse_percent,GLM,MLP,20,0.12222215346899701,0.24211760082724906,-0.11989544735825208,-0.12505800156488653,0.0,1.9073486328125e-06,-1.0,5.7220458984375e-06
2.0,hrf_rmse_percent,GLM,PINN,20,0.12222215346899701,0.018141123443804294,0.10408103002519269,0.10402656472855325,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
2.0,hrf_rmse_percent,MLP,PINN,20,0.24211760082724906,0.018141123443804294,0.22397647738344473,0.2290616373146051,0.0,1.9073486328125e-06,1.0,5.7220458984375e-06
